Name ,,,Source,Price,Purpose,,,,,,Distributor,Quantity
Raspberry Pi 3 Model B,,,https://www.ebay.com/itm/168200201603?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=168200201603&targetid=&device=c&mktype=pla&googleloc=9010498&poi=&campaignid=23517807511&mkgroupid=&rlsatarget=&abcId=10414391&merchantid=6296724&gad_source=1&gad_campaignid=23513126150&gbraid=0AAAAAD_QDh-u-3W3dQu9r9E1MZy1A-HB-&gclid=CjwKCAjw1tLOBhAMEiwAiPkRHrRc5HMYwjVqhCeapaLXAcOAS5gbg-p1_VYEAUDLIWjiMcpy0WmHSBoCiugQAvD_BwE,$27.29,Connects all components and runs the code,,,,,,Ebay,1
Arducam Camera Sensor Module,,,http://ebay.com/itm/297495136989?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOooX_yo60shL2BjnbmQ6Ss-rM3aGw6xelD9hLF_LRsBZgGZDDflQFlo,$11.40,Acts as a Camera sensor - Connected to Pi,,,,,,Ebay,1
Custom PCB,,,Self-Supplied,$0,Acts as Testing board of all buttons - Used for software fixing,,,,,,Self-Supplied,1
Waveshare 2inch IPS Screen 240×320 SPI Interface 2 inch LCD Display Module,,,https://www.aliexpress.us/item/3256808032134543.html?src=google&src=google&albch=shopping&acnt=179-224-6891&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256808032134543&ds_e_product_merchant_id=5649451446&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23114515373&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23118775333&gbraid=0AAAABBR8xIdwT0JcKGtLApaobF8bTqSfu&gclid=CjwKCAjw1tLOBhAMEiwAiPkRHnjVxG3yJHndC-1F6YCpoAJvvl19KneeYfYAFJ1Xe0rzS7D1f3vUHxoCzF0QAvD_BwE&gatewayAdapt=glo2usa,$8.09,"Acts as an Electronic Viewfinder, Screen for user interface",,,,,,aliexpress,1
On/Off Button,,,https://www.homedepot.com/p/Gardner-Bender-8-Amp-Single-Pole-Toggle-Switch-1-Pack-GSW-18/100141285?source=shoppingads&locale=en-US&fp=ggl&,$4.40,Buttons for user for on/off,,,,,,Homedepot,1
Wire Jumper Cables Pin-Pin,,,https://www.walmart.com/ip/3-x-40Pin-120-Pieces-20cm-DuPont-1P-1P-Wire-Jumper-Cables-Pin-Pin-Pin-Socket-Socket-Socket/568345268?wmlspartner=wlpa&selectedSellerId=101028229&sourceid=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&veh=dsn&wmlspartner=dsn_gdn_0c92c416-dbd6-42ec-845c-ecf69af2153d&cn=0042_fy27_mp_mpa_lo_int_dis_pmax-p13n&wl9=pla&wl11=online&gad_source=1&gad_campaignid=23148469844&gbraid=0AAAAADmfBIpWfZ0yMR3hJhltnzd-KrF5j&gclid=CjwKCAjw1tLOBhAMEiwAiPkRHgMqljaBZeW0v9mnmD7XlTsArXALPODAWSVwhfFWskEaperJbO7YfBoCHBMQAvD_BwE,$6.29,Connects all components ,,,,,,Walmart,120
M12 Lens Kit,,,https://www.ebay.com/itm/365952080642?_skw=M12+Lens&itmmeta=01KNNNA3Y7S8ZAKBJDNDYVFR8R&hash=item5534719b02:g:rqAAAeSwHv1pAqZ~&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xD2ByGwOe58WvhdwVwNrXr0pIlg0A1M0qeqkrK4Sq8HwwlVs4gUSqK%2BcoCKnOh2ezjGa2HyOwg%2Fl9451TkvT08%2F9ds3wCAziuaI2n9fgy01X%2F9y%2FD63r5NJDNrbtNauZLiMe%2Bn2KosU%2BIf%2BSNiyYJi5%2BsPmE9%2Bz7Fu3G9gDsFrN4r%2BIUvit4vtBTVEteph6hOnTSz1XVft7tbAJUddketQ5EGSuDSMnXdsheJ064OZ1OQ%3D%3D%7Ctkp%3ABk9SR6y_qLWtZw,$13.99,Allows for camera sensor to sense correct light rays and colors,,,,,,Ebay,1
Power Bank (5V),,,https://www.walmart.com/ip/5K-PWR-BNK/14769668232?wmlspartner=wlpa&selectedSellerId=0&wl13=628&gclsrc=aw.ds&adid=2222222227714769668232_117755028669_12420145346&wl0=&wl1=g&wl2=c&wl3=501107745824&wl4=pla-394283752452&wl5=9010498&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=14769668232&veh=sem_LIA&gclsrc=aw.ds&gad_source=1&gad_campaignid=12420145346&gbraid=0AAAAADmfBIoSb5MmAgT-NGgqCINg5QuPa&gclid=CjwKCAjw1tLOBhAMEiwAiPkRHvX5t41NTLWj-rvPSNrwoQYCW2O6Kq0h0ulJID5nmUQ7EfgKZGJyZRoCKSsQAvD_BwE,$7.88,Powers full system,,,,,,Walmart,1
SD Card,,,Self-Supplied ,$0,Stores Memory,,,,,,Self-Supplied,1
CSI Ribbon Cable,,,https://www.aliexpress.us/p/trade/confirm.html?objectId=3256808208394858&from=aliexpress&countryCode=US&shippingCompany=CAINIAO_STANDARD&provinceCode=922883670000000000&cityCode=922883676536000000&aeOrderFrom=main_detail&skuAttr=14%3A10%2315cm&skuId=12000044841061431&skucustomAttr=&quantity=1&spm=a2g0o.detail.0.0&curPageLogUid=1775621653650_2Rsp5b,$7.69,Connects Camera Sensor to Pi,,,,,,aliexpress,1
Push Shutter Button,,,https://www.ebay.com/itm/335923939349?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&,$8.23,Buttons for user for Shutter/Taking Pictures,,,,,,Ebay,1
*ALL SHIPPING AND TAXES ARE INCLUDED IN PRICES LISTED ABOVE*,,,,,,,,,,,,
,,,,Total: $95.26,,,,,,,,
